"Job_Title","Company_Name","City_State","Company_Rating","salary_Range","Post_Date","sal_hourly","min_salary","max_salary","avg_salary","job_state","pd_hourly","job_simp","seniority"
"Research Data Scientist","Facebook","Menlo Park, CA",4.6,"$108K-$174K (Glassdoor Est.)","24h",0,108,174,141,"CA",24,"data scientist","na"
"Data Scientist II, Product Analytics","Livongo","Mountain View, CA",4.7,"$145K-$163K (Glassdoor Est.)","3d",0,145,163,154,"CA",72,"data scientist","na"
"Data Scientist/ Data Automation Engineer","JSR Micro","Sunnyvale, CA",3.8,"$110K-$178K (Glassdoor Est.)","26d",0,110,178,144,"CA",624,"data scientist","na"
"SoC Performance Modeling Engineer","Samsung Semiconductor, Inc.","San Jose, CA",3.5,"$93K-$184K (Glassdoor Est.)","24h",0,93,184,138.5,"CA",24,"na","na"
"Lead Data Engineer, Big Data","Lucid Motors","Newark, CA",3.9,"$120K-$217K (Glassdoor Est.)","25d",0,120,217,168.5,"CA",600,"data engineer","senior"
"Temporary Marketing Data Analyst","Fenwick & West","Mountain View, CA",4.1,"$69K-$119K (Glassdoor Est.)","18d",0,69,119,94,"CA",432,"analyst","na"
"Staff Data Scientist","realtor.com","Santa Clara, CA",2.9,"$123K-$196K (Glassdoor Est.)","21d",0,123,196,159.5,"CA",504,"data scientist","na"
"Staff SoC Performance Modeling Engineer","Samsung Semiconductor, Inc.","San Jose, CA",3.5,"$84K-$166K (Glassdoor Est.)","24h",0,84,166,125,"CA",24,"na","na"
"Autonomous Driving Data Engineer","Lucid Motors","Newark, CA",3.9,"$99K-$178K (Glassdoor Est.)","21d",0,99,178,138.5,"CA",504,"data engineer","na"
"Risk Decision Scientist","PayPal","San Jose, CA",3.9,"$112K-$176K (Glassdoor Est.)","5d",0,112,176,144,"CA",120,"na","na"
"Data Scientist, Assay Development","GRAIL","Menlo Park, CA",3.7,"$115K-$181K (Glassdoor Est.)","17d",0,115,181,148,"CA",408,"data scientist","na"
"Director of Data Science and Analytics","BetterHelp","Mountain View, CA",4.2,"$148K-$236K (Glassdoor Est.)","24h",0,148,236,192,"CA",24,"director","na"
"Senior Data Engineer","First Tech Federal Credit Union","San Jose, CA",3.3,"$91K-$166K (Glassdoor Est.)","14d",0,91,166,128.5,"CA",336,"data engineer","senior"
"Senior Business Intelligence Analyst, Service","Bloom Energy","San Jose, CA",3.1,"$71K-$138K (Glassdoor Est.)","13d",0,71,138,104.5,"CA",312,"analyst","senior"
"Staff/Lead Data Engineer","Freedom Financial Network","San Mateo, CA",3.4,"$80K-$144K (Glassdoor Est.)","10d",0,80,144,112,"CA",240,"data engineer","senior"
"Sr. DATA SCIENTIST","Samsung Research America","Mountain View, CA",3.8,"$155K-$247K (Glassdoor Est.)","24h",0,155,247,201,"CA",24,"data scientist","senior"
"Principal Bioinformatics Scientist I","Roche","Pleasanton, CA",4.1,"$132K-$202K (Glassdoor Est.)","3d",0,132,202,167,"CA",72,"na","senior"
"Data QA Engineer","Affinity Solutions","San Jose, CA",3.2,"$48K-$82K (Glassdoor Est.)","4d",0,48,82,65,"CA",96,"na","na"
"Lead Decision Scientist","PayPal","San Jose, CA",3.9,"$137K-$216K (Glassdoor Est.)","2d",0,137,216,176.5,"CA",48,"na","senior"
"Staff Data Scientist","Intuit","Mountain View, CA",4.6,"$142K-$225K (Glassdoor Est.)","2d",0,142,225,183.5,"CA",48,"data scientist","na"
"Data Scientist, Cloud Business Operations","NetApp","Sunnyvale, CA",3.7,"$111K-$176K (Glassdoor Est.)","27d",0,111,176,143.5,"CA",648,"data scientist","na"
"Machine Learning Research Scientist","Baidu USA","Sunnyvale, CA",4.2,"$113K-$210K (Glassdoor Est.)","21d",0,113,210,161.5,"CA",504,"mle","na"
"Data Scientist","Entefy","Palo Alto, CA",4.3,"$112K-$133K (Glassdoor Est.)","3d",0,112,133,122.5,"CA",72,"data scientist","na"
